antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"FKIP_Peminjaman_Rendah, FTTK_Peminjaman_Rendah, FIKP_Peminjaman_Rendah",FISIP_Peminjaman_Rendah,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.5,1.0,0.1111111111111111,inf,0.49999999999999994,0.49999999999999994,1.0,0.75
"FKIP_Peminjaman_Rendah, FTTK_Peminjaman_Rendah","FIKP_Peminjaman_Rendah, FISIP_Peminjaman_Rendah",0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.5,1.0,0.1111111111111111,inf,0.49999999999999994,0.49999999999999994,1.0,0.75
"FKIP_Peminjaman_Rendah, FIKP_Peminjaman_Rendah","FTTK_Peminjaman_Rendah, FISIP_Peminjaman_Rendah",0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.5,1.0,0.1111111111111111,inf,0.49999999999999994,0.49999999999999994,1.0,0.75
FKIP_Peminjaman_Rendah,"FTTK_Peminjaman_Rendah, FISIP_Peminjaman_Rendah, FIKP_Peminjaman_Rendah",0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.5,1.0,0.1111111111111111,inf,0.49999999999999994,0.49999999999999994,1.0,0.75
"FTTK_Peminjaman_Rendah, FIKP_Peminjaman_Rendah, FEBM_Peminjaman_Rendah",FISIP_Peminjaman_Rendah,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.5,1.0,0.1111111111111111,inf,0.49999999999999994,0.49999999999999994,1.0,0.75
"FTTK_Peminjaman_Rendah, FEBM_Peminjaman_Rendah","FIKP_Peminjaman_Rendah, FISIP_Peminjaman_Rendah",0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.5,1.0,0.1111111111111111,inf,0.49999999999999994,0.49999999999999994,1.0,0.75
"FIKP_Peminjaman_Rendah, FEBM_Peminjaman_Rendah","FTTK_Peminjaman_Rendah, FISIP_Peminjaman_Rendah",0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.5,1.0,0.1111111111111111,inf,0.49999999999999994,0.49999999999999994,1.0,0.75
FEBM_Peminjaman_Rendah,"FTTK_Peminjaman_Rendah, FISIP_Peminjaman_Rendah, FIKP_Peminjaman_Rendah",0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.5,1.0,0.1111111111111111,inf,0.49999999999999994,0.49999999999999994,1.0,0.75
"FTTK_Pengunjung_Sedang, FEBM_Pengunjung_Tinggi, FISIP_Pengunjung_Sedang, FKIP_Pengunjung_Tinggi",FISIP_Peminjaman_Rendah,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.5,1.0,0.1111111111111111,inf,0.49999999999999994,0.49999999999999994,1.0,0.75
"FEBM_Pengunjung_Tinggi, FISIP_Peminjaman_Rendah, FISIP_Pengunjung_Sedang, FKIP_Pengunjung_Tinggi",FTTK_Pengunjung_Sedang,0.3333333333333333,0.8333333333333334,0.3333333333333333,1.0,1.2,1.0,0.055555555555555525,inf,0.24999999999999983,0.3999999999999999,1.0,0.7
